conversations_secondary_line_person_removed conversationsSecondaryLinePersonRemoved
conversations_secondary_line_people_added conversationsSecondaryLinePeopleAdded
conversations_secondary_line_person_added conversationsSecondaryLinePersonAdded
conversations_secondary_line_person_added_you conversationsSecondaryLinePersonAddedYou
conversations_secondary_line_renamed conversationsSecondaryLineRenamed
conversations_secondary_line_timed_message conversationsSecondaryLineTimedMessage
conversations_secondary_line_you_left conversationsSecondaryLineYouLeft
conversations_secondary_line_you_were_removed conversationsSecondaryLineYouWereRemoved
search_open searchOpen
search_open_group searchOpenGroup
people_confirm_label peopleConfirmLabel
people_people peoplePeople
people_search_placeholder peopleSearchPlaceholder
people_everyone_participates peopleEveryoneParticipates
people_no_matches peopleNoMatches
people_invite peopleInvite
people_invite_detail peopleInviteDetail
people_invite_button_contacts peopleInviteButtonContacts
people_invite_button_gmail peopleInviteButtonGmail
people_invite_headline peopleInviteHeadline
people_service_confirm_button peopleServiceConfirmButton
people_service_removal_button peopleServiceRemovalButton
people_service_new_conversation peopleServiceNewConversation
people_services peopleServices
people_share peopleShare
people_tabs_details peopleTabsDetails
people_tabs_devices peopleTabsDevices
people_tabs_devices_headline peopleTabsDevicesHeadline
people_tabs_devices_learn_more peopleTabsDevicesLearnMore
people_tabs_devices_why_verify peopleTabsDevicesWhyVerify
people_tabs_no_devices_headline peopleTabsNoDevicesHeadline
people_tabs_device_detail_all_my_devices peopleTabsDeviceDetailAllMyDevices
people_tabs_device_detail_device_fingerprint peopleTabsDeviceDetailDeviceFingerprint
people_tabs_device_detail_headline peopleTabsDeviceDetailHeadline
people_tabs_device_detail_how_to peopleTabsDeviceDetailHowTo
people_tabs_device_detail_reset_session peopleTabsDeviceDetailResetSession
people_tabs_device_detail_show_my_device peopleTabsDeviceDetailShowMyDevice
people_tabs_device_detail_verify peopleTabsDeviceDetailVerify
people_tabs_people peopleTabsPeople
people_tabs_services peopleTabsServices
people_verified peopleVerified
people_block_headline peopleBlockHeadline
people_block_message peopleBlockMessage
people_connect_headline peopleConnectHeadline
people_connect_message peopleConnectMessage
people_cancel_request_headline peopleCancelRequestHeadline
people_cancel_request_message peopleCancelRequestMessage
people_leave_headline peopleLeaveHeadline
people_leave_message peopleLeaveMessage
people_remove_headline peopleRemoveHeadline
people_remove_message peopleRemoveMessage
people_unblock_headline peopleUnblockHeadline
people_unblock_message peopleUnblockMessage
people_button_add peopleButtonAdd
people_button_add_people peopleButtonAddPeople
people_button_block peopleButtonBlock
people_button_cancel peopleButtonCancel
people_button_connect peopleButtonConnect
people_button_create peopleButtonCreate
people_button_ignore peopleButtonIgnore
people_button_leave peopleButtonLeave
people_button_open peopleButtonOpen
people_button_pending peopleButtonPending
people_button_profile peopleButtonProfile
people_button_remove peopleButtonRemove
people_button_unblock peopleButtonUnblock
people_button_no peopleButtonNo
people_button_yes peopleButtonYes
preferences_about preferencesAbout
preferences_account preferencesAccount
preferences_av preferencesAv
preferences_device_details preferencesDeviceDetails
preferences_devices preferencesDevices
preferences_headline preferencesHeadline
preferences_options preferencesOptions
preferences_account_avaibility_unset preferencesAccountAvaibilityUnset
preferences_account_create_team preferencesAccountCreateTeam
preferences_account_delete preferencesAccountDelete
preferences_account_log_out preferencesAccountLogOut
preferences_account_manage_team preferencesAccountManageTeam
preferences_account_reset_password preferencesAccountResetPassword
preferences_account_team preferencesAccountTeam
preferences_account_username_placeholder preferencesAccountUsernamePlaceholder
preferences_account_username_hint preferencesAccountUsernameHint
preferences_account_username_available preferencesAccountUsernameAvailable
preferences_account_username_error_taken preferencesAccountUsernameErrorTaken
preferences_av_camera preferencesAvCamera
preferences_av_microphone preferencesAvMicrophone
preferences_av_permission_detail preferencesAvPermissionDetail
preferences_av_speakers preferencesAvSpeakers
preferences_devices_activated_in preferencesDevicesActivatedIn
preferences_devices_activated_on preferencesDevicesActivatedOn
preferences_devices_active preferencesDevicesActive
preferences_devices_active_detail preferencesDevicesActiveDetail
preferences_devices_current preferencesDevicesCurrent
preferences_devices_fingerprint preferencesDevicesFingerprint
preferences_devices_fingerprint_detail preferencesDevicesFingerprintDetail
preferences_devices_id preferencesDevicesId
preferences_devices_remove preferencesDevicesRemove
preferences_devices_remove_cancel preferencesDevicesRemoveCancel
preferences_devices_remove_detail preferencesDevicesRemoveDetail
preferences_devices_session_confirmation preferencesDevicesSessionConfirmation
preferences_devices_session_detail preferencesDevicesSessionDetail
preferences_devices_session_reset preferencesDevicesSessionReset
preferences_devices_session_ongoing preferencesDevicesSessionOngoing
preferences_devices_verification preferencesDevicesVerification
preferences_options_audio preferencesOptionsAudio
preferences_options_audio_all preferencesOptionsAudioAll
preferences_options_audio_all_detail preferencesOptionsAudioAllDetail
preferences_options_audio_none preferencesOptionsAudioNone
preferences_options_audio_none_detail preferencesOptionsAudioNoneDetail
preferences_options_audio_some preferencesOptionsAudioSome
preferences_options_audio_some_detail preferencesOptionsAudioSomeDetail
preferences_options_contacts preferencesOptionsContacts
preferences_options_contacts_gmail preferencesOptionsContactsGmail
preferences_options_contacts_macos preferencesOptionsContactsMacos
preferences_options_contacts_detail preferencesOptionsContactsDetail
preferences_options_data preferencesOptionsData
preferences_options_data_checkbox preferencesOptionsDataCheckbox
preferences_options_data_detail preferencesOptionsDataDetail
preferences_options_popular preferencesOptionsPopular
preferences_options_emoji_replace_checkbox preferencesOptionsEmojiReplaceCheckbox
preferences_options_emoji_replace_detail preferencesOptionsEmojiReplaceDetail
preferences_options_previews_send_checkbox preferencesOptionsPreviewsSendCheckbox
preferences_options_previews_send_detail preferencesOptionsPreviewsSendDetail
preferences_options_notifications preferencesOptionsNotifications
preferences_options_notifications_none preferencesOptionsNotificationsNone
preferences_options_notifications_obfuscate preferencesOptionsNotificationsObfuscate
preferences_options_notifications_obfuscate_message preferencesOptionsNotificationsObfuscateMessage
preferences_options_notifications_on preferencesOptionsNotificationsOn
search_group_hint searchGroupHint
search_connect searchConnect
search_connections searchConnections
search_contacts searchContacts
search_groups searchGroups
search_people searchPeople
search_placeholder searchPlaceholder
search_services searchServices
search_team_groups searchTeamGroups
search_team_members searchTeamMembers
search_top_people searchTopPeople
search_try_search searchTrySearch
search_no_contacts_on_wire searchNoContactsOnWire
search_member_invite searchMemberInvite
search_others searchOthers
notification_asset_add notificationAssetAdd
notification_connection_accepted notificationConnectionAccepted
notification_connection_connected notificationConnectionConnected
notification_connection_request notificationConnectionRequest
notification_conversation_create notificationConversationCreate
notification_conversation_rename notificationConversationRename
notification_member_join_many notificationMemberJoinMany
notification_member_join_one notificationMemberJoinOne
notification_member_leave_removed_you notificationMemberLeaveRemovedYou
notification_obfuscated notificationObfuscated
notification_obfuscated_title notificationObfuscatedTitle
notification_ping notificationPing
notification_reaction notificationReaction
notification_shared_audio notificationSharedAudio
notification_shared_file notificationSharedFile
notification_shared_location notificationSharedLocation
notification_shared_video notificationSharedVideo
notification_voice_channel_activate notificationVoiceChannelActivate
notification_voice_channel_deactivate notificationVoiceChannelDeactivate
tooltip_conversation_all_verified tooltipConversationAllVerified
tooltip_conversation_call tooltipConversationCall
tooltip_conversation_ephemeral tooltipConversationEphemeral
tooltip_conversation_file tooltipConversationFile
tooltip_conversation_input_placeholder tooltipConversationInputPlaceholder
tooltip_conversation_input_placeholder_available tooltipConversationInputPlaceholderAvailable
tooltip_conversation_input_placeholder_away tooltipConversationInputPlaceholderAway
tooltip_conversation_input_placeholder_busy tooltipConversationInputPlaceholderBusy
tooltip_conversation_people tooltipConversationPeople
tooltip_conversation_picture tooltipConversationPicture
tooltip_conversation_ping tooltipConversationPing
tooltip_conversation_search tooltipConversationSearch
tooltip_conversation_video_call tooltipConversationVideoCall
tooltip_conversations_archive tooltipConversationsArchive
tooltip_conversations_archived tooltipConversationsArchived
tooltip_conversations_more tooltipConversationsMore
